transaction_id,date,store_id,region,product_id,category,quantity_sold,unit_price,payment_method,customer_id,discount_percent,return_flag,total_amount
TXN_1020,2023-01-01 20:00:00,STR_30,South,PRD_116,Toys,6,1689.99,Credit Card,CUST_1149,25,No,7604.96
TXN_1021,2023-01-01 21:00:00,STR_46,North,PRD_328,Toys,2,1912.31,Net Banking,CUST_846,12,Yes,3365.67
TXN_1022,2023-01-01 22:00:00,STR_15,South,PRD_499,Electronics,2,1886.66,Credit Card,CUST_322,15,No,3207.32
TXN_1023,2023-01-01 23:00:00,STR_29,West,PRD_236,Grocery,7,205.36,Cash,CUST_1387,2,No,1408.77
TXN_1024,2023-01-02 00:00:00,STR_39,West,PRD_235,Clothing,1,1889.91,Cash,CUST_1143,12,Yes,1663.12
TXN_1025,2023-01-02 01:00:00,STR_8,South,PRD_494,Toys,7,1592.52,Cash,CUST_1026,16,Yes,9364.02
TXN_1026,2023-01-02 02:00:00,STR_50,South,PRD_362,Grocery,5,1556.43,Net Banking,CUST_1161,20,No,6225.72
TXN_1027,2023-01-02 03:00:00,STR_34,South,PRD_474,Clothing,1,184.81,Debit Card,CUST_1230,5,No,175.57
TXN_1028,2023-01-02 04:00:00,STR_49,West,PRD_392,Furniture,6,363.13,Cash,CUST_1919,9,No,1982.69
TXN_1029,2023-01-02 05:00:00,STR_12,West,PRD_369,Furniture,7,1950.45,Credit Card,CUST_870,8,Yes,12560.9
TXN_1030,2023-01-02 06:00:00,STR_11,North,PRD_399,Clothing,1,430.67,Debit Card,CUST_1213,17,No,357.46
TXN_1031,2023-01-02 07:00:00,STR_4,North,PRD_43,Electronics,9,342.26,Credit Card,CUST_1801,29,Yes,2187.04
TXN_1032,2023-01-02 08:00:00,STR_43,West,PRD_323,Clothing,7,727.89,Credit Card,CUST_1196,16,Yes,4279.99
TXN_1033,2023-01-02 09:00:00,STR_5,South,PRD_342,Clothing,1,1827.15,Cash,CUST_1228,6,No,1717.52
TXN_1034,2023-01-02 10:00:00,STR_5,South,PRD_381,Electronics,3,955.01,Credit Card,CUST_1953,1,No,2836.38
TXN_1035,2023-01-02 11:00:00,STR_13,North,PRD_357,Electronics,5,1841.56,Net Banking,CUST_319,10,Yes,8287.02
TXN_1036,2023-01-02 12:00:00,STR_45,West,PRD_252,Grocery,4,672.01,Debit Card,CUST_668,17,Yes,2231.07
TXN_1037,2023-01-02 13:00:00,STR_12,North,PRD_212,Grocery,2,456.92,Cash,CUST_1010,2,Yes,895.56
TXN_1038,2023-01-02 14:00:00,STR_14,North,PRD_30,Electronics,1,992.93,Cash,CUST_46,13,Yes,863.85
TXN_1039,2023-01-02 15:00:00,STR_1,East,PRD_411,Furniture,4,1232.88,Credit Card,CUST_1371,19,Yes,3994.53
TXN_1040,2023-01-02 16:00:00,STR_47,East,PRD_404,Furniture,7,786.04,Credit Card,CUST_644,12,Yes,4842.01
TXN_1041,2023-01-02 17:00:00,STR_24,East,PRD_145,Clothing,4,695.33,UPI,CUST_1717,22,No,2169.43
TXN_1042,2023-01-02 18:00:00,STR_50,South,PRD_226,Toys,9,440.03,UPI,CUST_283,16,No,3326.63
TXN_1043,2023-01-02 19:00:00,STR_14,West,PRD_497,Clothing,8,553.64,,CUST_948,28,No,3188.97
TXN_1044,2023-01-02 20:00:00,STR_3,West,PRD_308,Clothing,8,1347.87,Cash,CUST_215,21,No,8518.54
TXN_1045,2023-01-02 21:00:00,STR_3,West,PRD_168,Toys,5,742.9,Credit Card,CUST_1742,10,Yes,3343.05
TXN_1046,2023-01-02 22:00:00,STR_42,West,PRD_429,Electronics,1,164.12,Net Banking,CUST_133,6,Yes,154.27
TXN_1047,2023-01-02 23:00:00,STR_30,East,PRD_361,Furniture,9,280.62,Net Banking,CUST_1985,2,No,2475.07
TXN_1048,2023-01-03 00:00:00,STR_36,South,PRD_268,Clothing,2,747.9,Credit Card,CUST_352,2,No,1465.88
TXN_1049,2023-01-03 01:00:00,STR_15,South,PRD_36,Toys,6,1849.38,UPI,CUST_637,1,No,10985.32
TXN_1050,2023-01-03 02:00:00,STR_29,East,PRD_52,Grocery,5,761.17,UPI,CUST_1520,20,No,3044.68
TXN_1051,2023-01-03 03:00:00,STR_50,South,PRD_415,Clothing,8,125.98,Net Banking,CUST_1510,15,No,856.66
TXN_1052,2023-01-03 04:00:00,STR_16,East,PRD_450,Furniture,3,838.9,Cash,CUST_1249,22,Yes,1963.03
TXN_1053,2023-01-03 05:00:00,STR_41,West,PRD_137,Electronics,6,1339.29,Credit Card,CUST_1273,10,Yes,7232.17
TXN_1054,2023-01-03 06:00:00,STR_22,East,PRD_195,Clothing,6,1189.22,Cash,CUST_1481,27,No,5208.78
TXN_1055,2023-01-03 07:00:00,STR_22,West,PRD_43,Clothing,3,561.21,UPI,CUST_929,13,No,1464.76
TXN_1056,2023-01-03 08:00:00,STR_34,West,PRD_2,Toys,7,1377.74,Net Banking,CUST_654,2,No,9451.3
TXN_1057,2023-01-03 09:00:00,STR_22,North,PRD_195,Grocery,4,1263.1,Cash,CUST_1634,6,No,4749.26
TXN_1058,2023-01-03 10:00:00,STR_30,East,PRD_203,Grocery,5,348.49,UPI,CUST_1423,7,No,1620.48
TXN_1059,2023-01-03 11:00:00,STR_48,North,PRD_172,Electronics,9,328.48,UPI,CUST_474,12,No,2601.56
TXN_1060,2023-01-03 12:00:00,STR_12,East,PRD_432,Furniture,6,1096.63,UPI,CUST_1144,18,No,5395.42
TXN_1061,2023-01-03 13:00:00,STR_25,East,PRD_417,Electronics,4,1320.58,Cash,CUST_623,10,No,4754.09
TXN_1062,2023-01-03 14:00:00,STR_3,North,PRD_202,Clothing,8,1924.01,Debit Card,CUST_279,0,Yes,15392.08
TXN_1063,2023-01-03 15:00:00,STR_10,North,PRD_132,Clothing,9,846.75,Net Banking,CUST_1306,18,No,6249.02
TXN_1064,2023-01-03 16:00:00,STR_28,East,PRD_429,Grocery,5,1531.05,UPI,CUST_1010,12,No,6736.62
TXN_1065,2023-01-03 17:00:00,STR_36,South,PRD_173,Furniture,2,237.46,Cash,CUST_1168,21,No,375.19
TXN_1066,2023-01-03 18:00:00,STR_29,West,PRD_28,Toys,6,1779.77,Credit Card,CUST_310,16,Yes,8970.04
TXN_1067,2023-01-03 19:00:00,STR_27,North,PRD_219,Furniture,8,1268.05,Net Banking,CUST_1712,8,No,9332.85
TXN_1068,2023-01-03 20:00:00,STR_25,West,PRD_334,Clothing,5,1259.92,Credit Card,CUST_1008,18,Yes,5165.67
TXN_1069,2023-01-03 21:00:00,STR_21,South,PRD_89,Toys,1,289.17,Credit Card,CUST_1399,18,No,237.12
TXN_1070,2023-01-03 22:00:00,STR_25,South,PRD_1,Furniture,8,83.97,Cash,CUST_718,27,Yes,490.38
TXN_1071,2023-01-03 23:00:00,STR_16,,PRD_475,Furniture,9,1404.39,Debit Card,CUST_956,22,Yes,9858.82
TXN_1072,2023-01-04 00:00:00,STR_9,North,PRD_78,Toys,1,238.53,Cash,CUST_495,22,No,186.05
TXN_1073,2023-01-04 01:00:00,STR_30,South,PRD_101,Clothing,8,258.31,Cash,CUST_798,28,No,1487.87
TXN_1074,2023-01-04 02:00:00,STR_29,North,PRD_139,Furniture,2,379.06,Net Banking,CUST_791,5,No,720.21
TXN_1075,2023-01-04 03:00:00,STR_8,South,PRD_428,Toys,4,200.0,Cash,CUST_39,6,Yes,752.0
TXN_1076,2023-01-04 04:00:00,STR_25,West,PRD_443,Clothing,2,1252.66,Net Banking,CUST_256,4,Yes,2405.11
TXN_1077,2023-01-04 05:00:00,STR_8,West,PRD_56,Toys,2,846.9,UPI,CUST_345,7,No,1575.23
TXN_1078,2023-01-04 06:00:00,STR_23,East,PRD_150,Toys,3,535.86,Net Banking,CUST_1237,25,Yes,1205.68
TXN_1079,2023-01-04 07:00:00,STR_18,West,PRD_347,Furniture,8,884.3,Cash,CUST_1164,13,No,6154.73
TXN_1080,2023-01-04 08:00:00,STR_26,East,PRD_368,Clothing,4,1689.06,UPI,CUST_1452,17,Yes,5607.68
TXN_1081,2023-01-04 09:00:00,STR_44,West,PRD_153,Furniture,7,1854.52,UPI,CUST_979,20,No,10385.31
TXN_1082,2023-01-04 10:00:00,STR_3,North,PRD_168,Electronics,3,977.51,Debit Card,CUST_965,26,No,2170.07
TXN_1083,2023-01-04 11:00:00,STR_2,West,PRD_437,Electronics,3,1135.67,Cash,CUST_1169,24,Yes,2589.33
TXN_1084,2023-01-04 12:00:00,STR_48,East,PRD_280,Clothing,2,518.11,,CUST_498,19,Yes,839.34
TXN_1085,2023-01-04 13:00:00,STR_13,East,PRD_400,Toys,6,1029.63,Cash,CUST_1560,23,Yes,4756.89
TXN_1086,2023-01-04 14:00:00,STR_17,South,PRD_39,Furniture,6,1497.5,Credit Card,CUST_696,2,Yes,8805.3
TXN_1087,2023-01-04 15:00:00,STR_24,North,PRD_95,Furniture,1,986.81,Debit Card,CUST_787,21,Yes,779.58
TXN_1088,2023-01-04 16:00:00,STR_45,West,PRD_217,Clothing,7,607.64,Cash,CUST_940,7,No,3955.74
TXN_1089,2023-01-04 17:00:00,STR_6,South,PRD_319,Clothing,4,1166.16,,CUST_1930,13,No,4058.24
TXN_1090,2023-01-04 18:00:00,STR_15,West,PRD_159,Electronics,3,1893.58,Credit Card,CUST_1156,24,Yes,4317.36
TXN_1091,2023-01-04 19:00:00,STR_32,West,PRD_447,Grocery,8,1776.53,Net Banking,CUST_514,13,Yes,12364.65
TXN_1092,2023-01-04 20:00:00,STR_25,South,PRD_5,Clothing,2,1539.64,Cash,CUST_1179,28,Yes,2217.08
TXN_1093,2023-01-04 21:00:00,STR_12,South,PRD_44,Grocery,9,556.04,UPI,CUST_1655,6,No,4704.1
TXN_1094,2023-01-04 22:00:00,STR_34,,PRD_469,Clothing,8,486.91,UPI,CUST_342,5,No,3700.52
TXN_1095,2023-01-04 23:00:00,STR_32,South,PRD_273,Toys,8,1677.88,Debit Card,CUST_1020,26,No,9933.05
TXN_1096,2023-01-05 00:00:00,STR_23,South,PRD_495,Toys,3,366.73,Net Banking,CUST_828,5,No,1045.18
TXN_1097,2023-01-05 01:00:00,STR_24,West,PRD_62,Electronics,4,1213.19,UPI,CUST_1977,11,No,4318.96
TXN_1098,2023-01-05 02:00:00,STR_31,South,PRD_415,Electronics,2,880.67,UPI,CUST_2000,21,No,1391.46
TXN_1099,2023-01-05 03:00:00,STR_13,North,PRD_274,Grocery,2,938.63,Cash,CUST_473,14,No,1614.44
TXN_1100,2023-01-05 04:00:00,STR_20,East,PRD_109,Clothing,4,911.81,UPI,CUST_1537,25,Yes,2735.43
TXN_1101,2023-01-05 05:00:00,STR_26,South,PRD_458,Furniture,6,1800.4,Credit Card,CUST_410,24,No,8209.82
TXN_1102,2023-01-05 06:00:00,STR_18,South,PRD_202,Electronics,5,178.75,Debit Card,CUST_1153,18,No,732.88
TXN_1103,2023-01-05 07:00:00,STR_35,West,PRD_112,Furniture,1,1566.89,UPI,CUST_1031,3,No,1519.88
TXN_1104,2023-01-05 08:00:00,STR_36,South,PRD_187,Furniture,1,1670.85,Cash,CUST_934,2,No,1637.43
TXN_1105,2023-01-05 09:00:00,STR_12,South,PRD_478,Clothing,6,1886.04,Credit Card,CUST_1943,12,Yes,9958.29
TXN_1106,2023-01-05 10:00:00,STR_8,South,PRD_118,Grocery,3,907.94,UPI,CUST_1446,24,Yes,2070.1
TXN_1107,2023-01-05 11:00:00,STR_14,West,PRD_203,Clothing,3,1002.63,Debit Card,CUST_361,15,Yes,2556.71
TXN_1108,2023-01-05 12:00:00,STR_37,South,PRD_341,Electronics,7,1922.78,Debit Card,CUST_1669,12,Yes,11844.32
TXN_1109,2023-01-05 13:00:00,STR_30,East,PRD_202,Furniture,1,919.61,Debit Card,CUST_1830,29,No,652.92
TXN_1110,2023-01-05 14:00:00,STR_27,West,PRD_45,Clothing,1,1009.58,UPI,CUST_670,20,Yes,807.66
TXN_1111,2023-01-05 15:00:00,STR_31,East,PRD_457,Clothing,3,667.85,Credit Card,CUST_589,29,No,1422.52
TXN_1112,2023-01-05 16:00:00,STR_2,West,PRD_138,Clothing,8,68.1,Net Banking,CUST_1274,9,Yes,495.77
TXN_1113,2023-01-05 17:00:00,STR_14,South,PRD_77,Electronics,1,868.94,Debit Card,CUST_1437,12,Yes,764.67
TXN_1114,2023-01-05 18:00:00,STR_25,East,PRD_401,Grocery,4,1311.91,Credit Card,CUST_658,7,Yes,4880.31
TXN_1115,2023-01-05 19:00:00,STR_3,West,PRD_353,Clothing,9,1381.44,Cash,CUST_1789,11,No,11065.33
TXN_1116,2023-01-05 20:00:00,STR_28,North,PRD_229,Electronics,4,17.98,Cash,CUST_1624,7,Yes,66.89
TXN_1117,2023-01-05 21:00:00,STR_37,South,PRD_434,Furniture,8,1603.1,Credit Card,CUST_1965,8,Yes,11798.82
TXN_1118,2023-01-05 22:00:00,STR_9,West,PRD_401,Toys,7,987.37,Cash,CUST_401,9,Yes,6289.55
TXN_1119,2023-01-05 23:00:00,STR_48,North,PRD_363,Electronics,3,1043.89,Cash,CUST_1095,6,No,2943.77
TXN_1120,2023-01-06 00:00:00,STR_48,West,PRD_214,Toys,7,1923.68,,CUST_1162,2,No,13196.44
TXN_1121,2023-01-06 01:00:00,STR_46,North,PRD_80,Clothing,7,572.5,UPI,CUST_1868,4,No,3847.2
TXN_1122,2023-01-06 02:00:00,STR_40,South,PRD_395,Clothing,3,1524.5,UPI,CUST_1184,2,No,4482.03
TXN_1123,2023-01-06 03:00:00,STR_45,East,PRD_93,Electronics,2,1151.68,UPI,CUST_1464,17,No,1911.79
TXN_1124,2023-01-06 04:00:00,STR_37,North,PRD_254,Toys,9,1403.09,UPI,CUST_1900,18,Yes,10354.8
TXN_1125,2023-01-06 05:00:00,STR_5,West,PRD_292,Clothing,1,838.55,Credit Card,CUST_797,27,No,612.14
TXN_1126,2023-01-06 06:00:00,STR_9,South,PRD_186,Furniture,7,562.02,Debit Card,CUST_547,9,Yes,3580.07
TXN_1127,2023-01-06 07:00:00,STR_26,North,PRD_233,Grocery,4,1094.52,Credit Card,CUST_486,8,No,4027.83
TXN_1128,2023-01-06 08:00:00,STR_13,West,PRD_47,Grocery,2,753.01,Cash,CUST_1188,24,Yes,1144.58
TXN_1129,2023-01-06 09:00:00,STR_7,West,PRD_37,Clothing,2,449.71,Debit Card,CUST_1734,23,No,692.55
TXN_1130,2023-01-06 10:00:00,STR_1,West,PRD_222,Toys,8,1679.28,Net Banking,CUST_122,6,Yes,12628.19
TXN_1131,2023-01-06 11:00:00,STR_2,North,PRD_21,Clothing,7,954.28,UPI,CUST_985,0,No,6679.96
TXN_1132,2023-01-06 12:00:00,STR_46,North,PRD_485,Toys,7,1695.39,Cash,CUST_1491,24,No,9019.47
TXN_1133,2023-01-06 13:00:00,STR_49,North,PRD_31,,5,950.69,UPI,CUST_383,9,No,4325.64
TXN_1134,2023-01-06 14:00:00,STR_2,East,PRD_99,Toys,8,1115.81,UPI,CUST_811,1,Yes,8837.22
TXN_1135,2023-01-06 15:00:00,STR_29,North,PRD_148,Clothing,2,1990.58,UPI,CUST_895,5,No,3782.1
TXN_1136,2023-01-06 16:00:00,STR_17,North,PRD_415,Furniture,2,1903.25,Net Banking,CUST_1025,25,Yes,2854.88
TXN_1137,2023-01-06 17:00:00,STR_6,North,PRD_81,Electronics,5,547.02,Cash,CUST_119,20,Yes,2188.08
TXN_1138,2023-01-06 18:00:00,STR_4,East,PRD_197,Grocery,1,1737.97,UPI,CUST_510,5,No,1651.07
TXN_1139,2023-01-06 19:00:00,STR_17,North,PRD_483,Clothing,6,783.85,UPI,CUST_387,23,Yes,3621.39
TXN_1140,2023-01-06 20:00:00,STR_34,West,PRD_230,Clothing,4,147.14,Debit Card,CUST_384,7,No,547.36
TXN_1141,2023-01-06 21:00:00,STR_40,North,PRD_413,Clothing,6,1153.68,UPI,CUST_1032,25,Yes,5191.56
TXN_1142,2023-01-06 22:00:00,STR_50,West,PRD_280,Furniture,7,1954.22,Debit Card,CUST_507,17,No,11354.02
TXN_1143,2023-01-06 23:00:00,STR_7,West,PRD_398,Electronics,3,1948.76,Cash,CUST_1036,6,Yes,5495.5
TXN_1144,2023-01-07 00:00:00,STR_48,West,PRD_232,Toys,8,257.3,Cash,CUST_1148,17,Yes,1708.47
TXN_1145,2023-01-07 01:00:00,STR_7,East,PRD_221,Electronics,7,1543.62,Cash,CUST_140,0,No,10805.34
TXN_1146,2023-01-07 02:00:00,STR_27,East,PRD_348,Furniture,1,1606.65,Debit Card,CUST_663,27,No,1172.85
TXN_1147,2023-01-07 03:00:00,STR_31,East,PRD_350,Clothing,6,740.65,Net Banking,CUST_1975,23,Yes,3421.8
TXN_1148,2023-01-07 04:00:00,STR_40,North,PRD_253,Grocery,7,1318.9,Net Banking,CUST_664,24,Yes,7016.55
TXN_1149,2023-01-07 05:00:00,STR_4,,PRD_198,Clothing,4,978.88,UPI,CUST_1489,13,No,3406.5
TXN_1150,2023-01-07 06:00:00,STR_39,East,PRD_174,Toys,2,459.65,Cash,CUST_1900,22,Yes,717.05
TXN_1151,2023-01-07 07:00:00,STR_4,East,PRD_10,Grocery,9,1523.72,Credit Card,CUST_1335,19,Yes,11107.92
TXN_1152,2023-01-07 08:00:00,STR_43,,PRD_287,,7,529.19,UPI,CUST_1176,6,Yes,3482.07
TXN_1153,2023-01-07 09:00:00,STR_42,East,PRD_459,Grocery,1,684.19,Net Banking,CUST_103,19,Yes,554.19
TXN_1154,2023-01-07 10:00:00,STR_32,North,PRD_307,Electronics,8,384.09,Net Banking,CUST_23,6,Yes,2888.36
TXN_1155,2023-01-07 11:00:00,STR_23,South,PRD_216,Furniture,3,1439.95,Cash,CUST_1557,3,No,4190.25
TXN_1156,2023-01-07 12:00:00,STR_5,East,PRD_83,Clothing,4,920.15,,CUST_1849,29,Yes,2613.23
TXN_1157,2023-01-07 13:00:00,STR_18,South,PRD_319,Toys,5,889.53,UPI,CUST_1889,29,No,3157.83
TXN_1158,2023-01-07 14:00:00,STR_23,North,PRD_285,Electronics,1,1211.1,Debit Card,CUST_244,24,Yes,920.44
TXN_1159,2023-01-07 15:00:00,STR_49,West,PRD_254,Clothing,6,318.74,Net Banking,CUST_133,4,No,1835.94
TXN_1160,2023-01-07 16:00:00,STR_32,East,PRD_396,Electronics,6,1796.82,Cash,CUST_474,22,No,8409.12
TXN_1161,2023-01-07 17:00:00,STR_13,North,PRD_329,Toys,2,932.89,Net Banking,CUST_1067,26,No,1380.68
TXN_1162,2023-01-07 18:00:00,STR_4,West,PRD_35,Clothing,6,736.22,Cash,CUST_750,23,Yes,3401.34
TXN_1163,2023-01-07 19:00:00,STR_23,West,PRD_338,Toys,8,257.75,Credit Card,CUST_1432,20,Yes,1649.6
TXN_1164,2023-01-07 20:00:00,STR_39,South,PRD_423,Grocery,6,340.07,Debit Card,CUST_661,0,No,2040.42
TXN_1165,2023-01-07 21:00:00,STR_2,North,PRD_276,Toys,4,1841.12,UPI,CUST_1135,19,Yes,5965.23
TXN_1166,2023-01-07 22:00:00,STR_1,West,PRD_498,Grocery,4,915.95,Cash,CUST_1192,2,No,3590.52
TXN_1167,2023-01-07 23:00:00,STR_41,East,PRD_352,Clothing,9,1445.76,,CUST_227,12,No,11450.42
TXN_1168,2023-01-08 00:00:00,STR_1,East,PRD_441,Grocery,6,165.63,Credit Card,CUST_1957,6,Yes,934.15
TXN_1169,2023-01-08 01:00:00,STR_1,South,PRD_199,Clothing,8,1288.71,Debit Card,CUST_498,5,Yes,9794.2
TXN_1170,2023-01-08 02:00:00,STR_1,West,PRD_405,Clothing,8,1843.43,Cash,CUST_1277,5,Yes,14010.07
TXN_1171,2023-01-08 03:00:00,STR_6,North,PRD_375,Furniture,7,603.43,UPI,CUST_460,1,Yes,4181.77
TXN_1172,2023-01-08 04:00:00,STR_36,East,PRD_287,Clothing,3,1160.39,UPI,CUST_862,15,No,2958.99
TXN_1173,2023-01-08 05:00:00,STR_43,West,PRD_200,Grocery,1,1880.74,UPI,CUST_447,5,No,1786.7
TXN_1174,2023-01-08 06:00:00,STR_16,West,PRD_291,Furniture,5,1440.05,Net Banking,CUST_417,7,Yes,6696.23
TXN_1175,2023-01-08 07:00:00,STR_35,South,PRD_306,Furniture,2,129.34,Net Banking,CUST_867,20,No,206.94
TXN_1176,2023-01-08 08:00:00,STR_29,East,PRD_29,Clothing,2,760.58,Cash,CUST_457,24,Yes,1156.08
TXN_1177,2023-01-08 09:00:00,STR_8,East,PRD_232,Toys,7,176.12,UPI,CUST_429,10,No,1109.56
TXN_1178,2023-01-08 10:00:00,STR_21,North,PRD_154,Toys,3,1723.33,Credit Card,CUST_923,17,Yes,4291.09
TXN_1179,2023-01-08 11:00:00,STR_20,East,PRD_67,Furniture,8,1245.22,UPI,CUST_623,22,Yes,7770.17
TXN_1180,2023-01-08 12:00:00,STR_28,North,PRD_186,Clothing,9,1912.98,Cash,CUST_1033,5,No,16355.98
TXN_1181,2023-01-08 13:00:00,STR_12,East,PRD_100,Toys,8,44.41,UPI,CUST_416,13,Yes,309.09
TXN_1182,2023-01-08 14:00:00,STR_11,South,PRD_9,Clothing,6,849.06,Debit Card,CUST_1712,14,No,4381.15
TXN_1183,2023-01-08 15:00:00,STR_44,East,PRD_66,Clothing,5,213.21,UPI,CUST_1543,10,No,959.44
TXN_1184,2023-01-08 16:00:00,STR_48,North,PRD_435,Furniture,3,704.22,Credit Card,CUST_158,26,No,1563.37
TXN_1185,2023-01-08 17:00:00,STR_34,North,PRD_83,Furniture,3,327.96,Cash,CUST_496,14,Yes,846.14
TXN_1186,2023-01-08 18:00:00,STR_15,South,PRD_182,Electronics,7,660.94,Cash,CUST_298,12,No,4071.39
TXN_1187,2023-01-08 19:00:00,STR_24,East,PRD_464,Toys,5,1639.43,Credit Card,CUST_659,5,No,7787.29
TXN_1188,2023-01-08 20:00:00,STR_15,East,PRD_51,Toys,6,325.6,Cash,CUST_1277,3,Yes,1894.99
TXN_1189,2023-01-08 21:00:00,STR_14,South,PRD_355,Toys,6,949.96,UPI,CUST_1585,13,Yes,4958.79
TXN_1190,2023-01-08 22:00:00,STR_14,East,PRD_370,Grocery,9,1843.56,Cash,CUST_894,12,Yes,14601.0
TXN_1191,2023-01-08 23:00:00,STR_49,East,PRD_70,Clothing,1,1997.56,UPI,CUST_51,9,No,1817.78
TXN_1192,2023-01-09 00:00:00,STR_16,North,PRD_53,Furniture,8,505.03,Cash,CUST_977,24,No,3070.58
TXN_1193,2023-01-09 01:00:00,STR_18,East,PRD_155,Toys,5,1871.46,UPI,CUST_1235,21,No,7392.27
TXN_1194,2023-01-09 02:00:00,STR_6,East,PRD_211,Electronics,6,526.47,UPI,CUST_1398,28,Yes,2274.35
TXN_1195,2023-01-09 03:00:00,STR_50,South,PRD_16,,6,829.99,Credit Card,CUST_114,11,Yes,4432.15
TXN_1196,2023-01-09 04:00:00,STR_29,South,PRD_161,Clothing,1,1756.46,Credit Card,CUST_1629,23,No,1352.47
TXN_1197,2023-01-09 05:00:00,STR_4,West,PRD_448,Clothing,3,1573.42,Net Banking,CUST_743,7,Yes,4389.84
TXN_1198,2023-01-09 06:00:00,STR_41,North,PRD_484,Furniture,6,1715.69,Credit Card,CUST_1904,19,No,8338.25
TXN_1199,2023-01-09 07:00:00,STR_46,East,PRD_14,Grocery,9,1601.51,UPI,CUST_615,4,Yes,13837.05
TXN_1200,2023-01-09 08:00:00,STR_22,East,PRD_2,Furniture,6,473.95,UPI,CUST_883,1,Yes,2815.26
TXN_1201,2023-01-09 09:00:00,STR_43,West,PRD_18,Toys,6,1119.8,Cash,CUST_1598,19,Yes,5442.23
TXN_1202,2023-01-09 10:00:00,STR_40,East,PRD_473,Electronics,1,773.58,Cash,CUST_652,11,Yes,688.49
TXN_1203,2023-01-09 11:00:00,STR_42,North,PRD_172,Furniture,9,922.12,Net Banking,CUST_988,5,No,7884.13
TXN_1204,2023-01-09 12:00:00,STR_19,West,PRD_160,Grocery,4,312.14,UPI,CUST_906,29,No,886.48
TXN_1205,2023-01-09 13:00:00,STR_42,North,PRD_192,Furniture,2,634.96,Net Banking,CUST_156,14,No,1092.13
TXN_1206,2023-01-09 14:00:00,STR_5,West,PRD_174,Clothing,1,1716.01,,CUST_565,17,No,1424.29
TXN_1207,2023-01-09 15:00:00,STR_27,West,PRD_199,Toys,3,1795.63,Credit Card,CUST_1341,17,No,4471.12
TXN_1208,2023-01-09 16:00:00,STR_6,South,PRD_490,Toys,3,1222.26,,CUST_1072,9,Yes,3336.77
TXN_1209,2023-01-09 17:00:00,STR_30,North,PRD_347,Toys,5,999.04,Net Banking,CUST_1116,6,Yes,4695.49
TXN_1210,2023-01-09 18:00:00,STR_7,East,PRD_185,Toys,1,1427.12,Debit Card,CUST_1509,9,Yes,1298.68
TXN_1211,2023-01-09 19:00:00,STR_28,East,PRD_361,Toys,7,1219.66,UPI,CUST_1913,4,Yes,8196.12
